סמל ישוב,שם ישוב,דירוג לפי  ממוצע שנות לימוד של בני 54-25,ערך שנות לימוד,דירוג לפי אחוז בעלי תואר אקדמי מבני 54-25,ערך בעלי תואר
543,ראמה,104,13.0,114,22.7
2640,ראש העין,162,14.1,162,32.4
26,ראש פינה,178,14.4,163,32.4
8300,ראשון לציון,137,13.6,158,31.2
1161,רהט,6,9.0,5,4.0
8400,רחובות,170,14.2,187,40.0
542,ריינה,53,11.6,36,10.9
922,רכסים,120,13.3,9,5.7
8500,רמלה,62,11.7,31,10.4
8600,רמת גן,203,14.8,204,45.0
2650,רמת השרון,229,15.2,235,55.7
122,רמת ישי,218,15.0,222,49.3
8700,רעננה,232,15.4,234,55.6
913,שבלי - אום אל-גנם,34,10.9,15,7.9
1286,שגב-שלום,4,8.1,23,8.9
1031,שדרות,83,12.5,76,16.3
1304,שוהם,246,16.1,244,63.9
812,שלומי,118,13.3,97,19.4
538,שעב,14,10.3,59,13.4
692,שפיר,132,13.5,155,30.6
8800,שפרעם,40,11.2,67,14.9
5000,תל אביב -יפו,212,14.9,220,48.7
154,תל מונד,231,15.4,243,63.3
1054,תל שבע,1,3.7,1,0.8
